영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
데이빗 린치: 아트 라이프,,존 응우옌,2017-09-21,,역사상 가장 유니크한 감독 ‘데이빗 린치’!그가 들려주는 낯설지만 우아한 고백!할리우드 자신의 스튜디오 빈티지 마이크 앞에 선 ‘컬트의 제왕’ 데이빗 린치. 어린 딸 ‘룰라’에게 들려주는 가장 비밀스러운 자신의 이야기를 시작한다. 아이다호의 작은 마을에서 순수하고 행복한 어린 시절을 보낸 소년이 필라델피아의 예술학교에 진학 후 기괴하고 미스터리한 감독이 되기까지…. 데이빗 린치가 직접 들려주는 그의 작품세계와 진정한 아트 라이프,
더 히어로,,브렛 헤일리,2018-02-01,,,
노르마,Norma,메트오페라,2018-03-03,,"고대 갈리아의 여 대사제 노르마와 로마 총독 폴리오네, 여신도 아달지자의 사랑과 희생을 그린 오페라 공연 실황 영상",
라 트라비아타,La Traviata,파비오 루이지,2012-10-23,,,
비키니 대작전,,전국위,2013-09-06,"연애,여행,고난,여정,모델",연애에 실패만 하는 세 남자가 여행을 떠나 고난의 여정을 보내지만 결국 비키니 모델들과 사랑에 성공한다는 내용,
시베리아 횡단열차: 대탈주,,알렉세이 유치텔,2014-10-23,,"2차 대전 직후, 나치의 포로였던 소련인을 재교육 시키는 끄라이 마을에서 다양한 사람들의 군상을 통해 전쟁으로 인한 갈등과 상처를 그린 내용",
개인교수 2014,,한나 피델,2014-10-08,,고등학교 여교사와 남학생간의 비밀스런 사랑과 갈등을 그린 내용,
쌍자신투,,강도해,2014-10-16,,죽은 이도 살린다는 공불천주를 둘러싼 라마승들과 범죄 조직의 암투를 그린 내용,
사랑의 묘약,Love Potion,바틀렛 셰어,2013-03-09,"포도주,사랑의 묘약,거절,유산,상속","싸구려 포도주를 사랑의 묘약인 줄 알고 마신 청년이 사랑하는 여인에게 거절당하지만, 유산을 받게 되어 사랑도 이룬다는 내용",
대영웅 소남인,,원재현,2014-12-24,,"평범한 국수 장사꾼 주인공이 일본 첩보 조직과 청나라 황실의 고수들, 영국의 군대로부터 명나라 황제의 옥새를 지켜낸다는 내용의 무협 영화",
화도대전,,원규,2014-10-08,,남녀간의 사랑이 금지된 왕국에 사는 사람들 사이에서 벌어지는 해프닝과 진정한 사랑을 찾아가는 과정을 그린 내용,
돈 지오반니,DON GIOVANNI,마이클 그랑디지,2012-02-29,"귀족,방탕,모차르트,오페라,뉴욕",방탕한 귀족 돈 후앙의 이야기를 바탕으로 만들어진 모차르트 오페라로 뉴욕 메트로폴리탄 공연 실황을 담은 영화,
머펫 대소동,,제임스 보빈,2012-05-18,,세명의 팬들의 도움으로 머펫들은 그들의 오래된 스튜디오를 지키기 위해 재결합한다.,아카데미 시상식(2012) : 주제가상 - 브렛 맥켄지
루팡 3세: 칼리오스트로의 성,,미야자키 하야오,2017-05-25,"애니메이션, 소설원작, 도둑, 경찰, 추적, 보물, 결혼, 신부","대도둑인 루팡 3세는 국제 카지노를 털고 도망가지만, 그 돈이 모두 위조지폐라는 것을 깨닫고 위조지페가 만들어진 카리오스트로로 향한다. 그리고 우연히 괴한에게 쫓기던 여인을 구하고, 여인은 자신을 구하기 위해 애쓰다 다친 루팡을 보살펴준다. 그러나 다시 나타난 괴한들 때문에 도망을 치던 여인은 결국 괴한들에게 잡혀가고, 남겨진 그녀의 장갑을 살펴본 루팡은 그녀의 정체를 알아낸다. 그녀를 구하기로 결심한 루팡은 동료인 고에몽을 부르는데...",
10일간의 원나잇 스탠드,,다니엘 아르비드,2012-11-29,"레바논,가수,가정폭력,질투","레바논 정부가 상영금지 조치를 내린 문제작!치명적인 육체의 탐닉...거부할 수 없는 그들의 뜨거운 사랑이 시작된다!‘조하’는 레바논의 작은 라이브 카페에서 노래하는 가수다. 남편의 폭력에 시달리던 그녀는 남편과 이혼은 했지만 여전히 그의 감시와 폭행 속에 두려운 삶을 살아 가고 있다. 그러던 그녀는 어느 날, 프랑스 출신의 변호사 ‘마티유’를 만나게 되고 ‘마티유’의 사려 깊은 마음에 매력을 느끼게 된다. 하지만 둘 사이가 가까워 질수록 ‘조하’의 전남편은 질투심으로 두 사람을 더욱 압박하기 시작하고 ‘마티유’의 숨겨진 비밀이 밝혀지면서 ‘마티유’와 ‘조하’의 뜨거웠던 10일간의 애정행각은 파국으로 치닫기 시작하는데...",
옥보단2012 : 천하애정비법,, 마크 우,2012-12-13,"중산층,사춘기,호기심,멘토","홍콩박스오피스 1위! 대륙을 에로틱한 물결로 물들인 놀라운 XX비법이 공개된다!‘프랭키’는 중산층 가정에서 엄격한 교육을 받고 자란 바른 소년이다. 어느덧 사춘기에 접어든 그는 섹스와 여자가 궁금해지기 시작하자 그는 같은 반의 ‘섹스 멘토’인 찬구 ‘징’에게 많은 것을 의지한다. ‘징’의 도움으로 ‘프랭키’는 자신이 좋아하는 ‘조이’와 캠핑을 할 기회가 생긴다. 그녀와 단둘이 시간을 보내며 동정을 ‘조이’에게 바치게 되는 듯 싶지만...그게 쉽지만은 않다! 그 일로 ‘프랭키’는 학교에서 섹스도 못하는 샌님으로 유명해져 왕따를 당하게 된다. 마음에 큰 상처를 입은 ‘프랭키’는 홍콩을 떠나 영국 유학 길에 오르게 되고, 그곳에서 공부에 전념하던 그는 기분전환을 위해 중국 본토로 여행을 떠난다. 그곳에서 오랜 친구이자 자신의 ‘섹스멘토’였던 ‘징’과 함께 클럽을 누비며 그가 몰랐던 남자들만의 세계에 푹 빠져들게 되는데...",
반딧불 언덕에서,,,2012-11-01,"여름방학,시골,1970년대,반딧불","일 년 전, 교통사고로 아버지를 잃은 초등학교 6 학년 ‘유타’는 이번 여름방학도 아버지와 함께 갔던 시골에 찾아간다. 하지만 댐이 건설되어 마을은 물에 잠겨 사라진 지 오래. 딱정벌레를 잡으려고 산 속을 헤매던 중, 유타는 이상한 할아버지를 만나게 된다. 할아버지가 사라진 뒤, 갑자기 폭우가 내리고 유타는 그만 급류에 휩쓸려 정신을 잃고 만다. 그리고 깨어났을 때 눈 앞에 ‘사에코’라는 여자아이와 마주하게 된다. 사에코를 집에 데려다 주려고 산 밑을 내려다 보는 순간, 없어졌던 마을이 눈 앞에 펼쳐진다. 30년 전으로 시간여행을 하게 된 것. 혼자 계신 어머니가 걱정되지만 이곳에서 여름방학을 보내야 하는 어쩔 수 없는 마법에 걸려 버린다. 사에코는 유타를 사촌오빠로 여기고 마을 친구 켄조와 함께 여름방학 한달 동안 과거의 시골 마을에서 생활을 한다. 어색한 기운은 곧 사라지고, 이내 1970 년 대 시골마을의 아름다운 자연 속에 살아가는 행복한 시간에 빠져든다. 무엇보다도 마을의 명물 ‘무지갯빛 반딧불’과 마주하면서 잊을 수 없는 추억을 만든다. 어느 덧 여름방학이 끝나고 집으로 돌아가야 하는 시간이다. 마을을 떠나면 마법이 풀리면서 유타는 모든 것을 기억할 수 없게 될 것이다. 좋아하는 것은 사라지고 만다는 마을 신관 할아버지의 말씀처럼 유타는 아름다운 반딧불의 기억과 친구들과의 추억을 모두 잊어버리게 될까?",
우리동네 포르노스타,,프랭크 가스탐비드,2013-07-10,"포르노,스타,대박,백수,소꿉친구",포르노 스타로 대박을 꿈꾸는 15년 지기 얼간이 백수 친구들의 좌충우돌 해프닝을 그린 영화,
슬립리스 나이트,,프레더릭 자뎅,2013-07-11,"마약,부패경찰,갱단,내사과","마약을 차지하기 위해 벌이는 부패경찰과 갱단, 경찰내사과의 이야기를 그린 영화",
가자! 장미여관으로 3 - 방황,"Let’s Go to Rose Motel 3 : Wandering ( Gaja, Jangmiyeogwaneuro 3 )",김봉은,2014-10-08,,장미 여관을 배경으로 남녀의 엇갈린 사랑과 욕정을 그린 내용,
에비던스,,올라턴드 오선샌미,2013-12-26,"살인사건,사건현장,동영상,범인,색출",살인사건 현장에서 발견된 동영상으로 범인을 색출하는 과정을 담은 영화속의 영화,
신데렐라,Cinderella,메트오페라,2018-12-01,"오페라,신데렐라,왕자",계모 슬하에서 언니들의 방해에도 불구하고 왕자와 행복한 결혼식을 올리게 된다는 내용의 신데렐라를 현대적으로 해석한 오페라 공연 실황,
알렉산더 : 절대 영웅의 탄생,,이코르 카리오노프,2013-09-17,"알렉산더,왕자,배신,음모,전쟁",알렉산더 왕자가 주변의 배신과 음모에도 불구하고 스웨덴과의 전쟁을 승리로 이끌기까지의 이야기,
해결사,,니쉬칸트 카마트,2013-01-24,"경찰,마약단속반,보복,살해,마약조직,응징",뭄바이 경찰의 마약단속 요원들이 보복을 위해 경찰 가족까지 가리지 않고 무참히 살해하는 잔혹한 마약조직 두목을 응징하는 이야기,
더 패키지: 일급비밀,,,2013-07-26,"사채,악당,동생,활약상",사채업계 악당들을 물리치고 동생을 구하는 주인공 남자의 활약상을 그린 영화,
무사 4대 문파와의 혈투,,서호봉,2013-08-23,"왜구,전투,호위무사,무술고수",왜구와의 전투에서 큰 공을 세운 장군의 호위무사가 새로운 문파를 세우기 위해 기존의 무술 고수들과 겨룬다는 내용의 영화,
차일디쉬 게임즈,,안토니오 샤바리아스,2013-09-26,"실수,죽음,죄의식",어릴적 실수로 소녀를 죽음에 이르게 한 두 남자가 죄의식으로 인해 벌어지는 일을 그린 영화,
열애,Passionate Love ( Yeorae ),이숭환,2014-07-23,,"슬프고도 치명적인 금지된 사랑아픔을 달래는 그들의 위험한 관계가 시작된다!동우는 다른 남자와 밤을 보낸 부인, 민희를 여전히 그리워한다. 동우와 민희는 애증 관계를 이어가며, 관계의 매듭을 짓지 못한다. 어느 날, 동우는 5년 난 남자친구에게 이별을 통보 받은 윤서를 만나, 서로의 처지에 대해 한탄한다. 그들은 우연히 몇 번 더 마주치면서, 깊은 상실감을 인정해야만 새로운 사랑을 시작할 수 있음을 깨닫는다.",
꽃보다 처녀귀신,Ghost over Flowers ( Ggotboda Cheonyeoguishin ),최영민,2015-01-15,,사채회사 직원인 주인공이 처녀귀신들의 도움으로 연애 기술을 터득하고 첫사랑을 이루게 된다는 내용,
로우,Raw,줄리아 듀코나우,2017-08-05,,"여린 표정, 가늘고 연약한 몸에 속지 말 것. 철저한 채식주의자 가정에서 자라 수의대생이 된 저스틴(가렌스 마릴러). 동물 피를 온몸에 뒤집어쓰고, 억지로 토끼 콩팥을 먹어야 하는 혹독한 신고식을 치른 뒤, 저스틴은 낯선 욕망에 사로잡힌다. 생고기·피에 대한 참을 수 없는 갈증. 저스틴의 욕망은 급기야 인육에 대한 식욕으로까지 번진다.",시체스 국제판타스틱 영화제(2016) : 시민케인상(신인감독상) - 줄리아 듀코나우|시체스 국제판타스틱 영화제(2016) : 멜리스-유럽최우수작품상 - 줄리아 듀코나우|시체스 국제판타스틱 영화제(2016) : Carnet Jove 심사위원상 - 줄리아 듀코나우
카르멘,CARMEN,안드리스 넬슨스,2012-11-10,,집시 여인을 사랑했으나 배신 당한 남자의 복수를 그린 오페라 공연 실황,
드래곤 아이즈,,존 하이암스,2012-12-20,"부패경찰,광장,무술,마약","황폐화 되어 가는 도시를 구할 극강 무술의 그들이 나타난다!마약상들과 부패한 경찰들로 인하여 황폐화 되어가는 세인트 주드 광장. 이들의 횡포로 인해 시민들은 희망이 없는 나날을 살고 있다. 더 이상의 부정부패를 지켜볼 수 만은 없는 티아노(장 클로드 반담)와 미스터 홍(쿵리)은 부패 경찰 서장의 횡포 그리고 억울하게 누명을 쓴 광장 사람들에게 평화를 되찾아 주기 위해 연합을 시도, 횡포에 맞서기 위한 극강의 무술 훈련을 시작하는데…",
식스 블릿츠: 분노의 추적,,어니 바바라쉬,2013-08-16,"딸,납치,구출,인신매매",딸을 납치당한 부모가 인신매매 당한 아이들을 구하는 남자 삼손에게 도움을 요청하고 우여곡절 끝에 아이를 구출한다는 내용의 영화,
뜨거운 욕망,,베르나르 진진,2013-07-12,,,
아웃포스트 : 블랙선,,스티브 바커,2013-06-20,"제2차세계대전,나치,좀비,전쟁,악당,복수",2차세계대전 말을 배경으로 나치 좀비 군단을 만들어 전쟁을 벌이려는 악당들과 그들에게 목숨을 잃은 부모의 복수를 하려는 여자의 이야기를 그린 내용,
어펜더: 범죄와의 전쟁,,론 스컬펠로,2013-04-26,"범죄자,폭행,유산,복수,교도소",범죄자들의 폭행으로 유산한 아내의 복수를 위해 교도소에 들어가 응징하는 남자의 이야기,
언디스퓨티드: 1대100의 혈투,,에두아르도 로드리게즈,2013-06-07,"마약,돈가방,대결",마약상의 돈가방을 훔친 남자와 돈가방을 되찾으려는 마약상들과 대결을 그린 내용,
포르노그래픽 러브,,일리안 드제벨레코브,2013-08-09,"인터넷,온라인사이트,성적욕망,사랑",온라인 데이트 사이트에 접속하여 성적 욕망을 드러내는 여러 군상들의 모습을 다룬 영화,
권법 쿵푸의 신,,정사걸,2013-08-02,"무술,코미디,쿵푸,권법","이소룡, 성룡, 적룡과 더불어 홍콩의 네 마리 용으로 불리는 양소룡과 제자들이 벌이는 왁자지껄한 무술 코미디. 허름한 찻집에서 파리만 날리고 있는 드래곤과 타이거, 쿵푸의 고수 로썬의 제자로 이름을 날리던 그들은 30년 전 로썬이 코마에 빠진 후 꿈도, 젊음도, 무술 실력도 잃은 지 오래. 그런 그들 앞에 젊은 부동산 중개인이 나타나 로썬을 깨우는데!",
스티븐 시걸의 리벤지,,케오니 왝스먼,2013-06-28,"교도소,CIA,특수부대","액션의 스페셜 리스트들이 맞붙는다! 군과 정보국 요원들만을 수감하는 특수 교도소는 기밀정보의 유출을 방지하기 위해 최첨단 시설로 통제되며 미로처럼 설계된 것이 특징이다. 어느 날, 두 명의 여성 수감자가 이 곳에 수감되는데 이 중 한 명 은 전직 CIA요원으로 극비임무 수행 중 그녀의 잘못으로 작전이 수포로 돌아가자 이 곳 특수 교도소에 수감되고, 이 곳을 관리하는 전직 특수부대 출신인 ‘크로스 (스티븐 시갈)’와 ‘매닝 (스티브 오스틴)’이 그녀를 인계 받는다. 그 날밤, 경찰이라고 자신의 신분을 밝힌 이들이 특수 교도소에 들이닥쳐 여자 수감자 두 명의 이송을 요구한다. 하지만 특수 교도소의 존재는 경찰조차 모르는 사실. 이를 수상히 여긴 ‘크로스’와 ‘매닝’은 이들을 의심하게 되는데...",
에스엠타운 라이브인도쿄스페셜에디션3D,SM Town Live in Tokyo Special Edition 3D,유호진,2012-10-11,,2011년 일본 도쿄돔에서 열린 SM엔터테인먼트 소속 가수들의 합동 공연 실황을 3D로 담은 영화,
친구의 아내를 탐하다,,얀 흐르베이크,2013-05-31,"부부,문제해결,여행",두 쌍의 부부가 여행을 떠나 성적 문제를 해결한다는 내용,
정사 : 두 여자와의 로맨스,,마크 만,2013-04-19,"마약,성,중독,카메라",마약과 성에 중독된 삶을 살아가는 세 명의 남녀에게 카메라가 주어지면서 일어나는 일을 그린 내용,
셀러브리티 섹스테이프,,스캇 휠러,2013-06-27,"동영상,유출,배상,사업",S 동영상 유출로 거액의 배상비를 물어야 할 처지에 놓인 대학생들이 돈을 벌기위해 직접 S 동영상 사업을 벌인다는 이야기,
남자 대 여자: 섹스가 문제다,,파우스토 브리지,2013-05-03,"결혼,권태기,부부,성생활,커플",결혼한 지 20년이 지나 권태기를 겪는 부부를 중심으로 여러 커플의 성생활을 그린 이야기,
펫,Pet,카를레스 토렌스,2016-11-30,"밀실,납치,SNS,사육,집착,스토킹","한 유기견 보호소 차디 찬 지하 밀실 철장 안. 그 속에서 눈을 뜬 ‘홀리’는 자신이 납치되었다는 사실을 알아 차린다. 그 때, 철장 밖에서 ‘홀리’에게 먹을 것을 건네는 사내 ‘세스’ 그는 바로 전 날까지 자신을 SNS로 끊임없이 훔쳐보며 구애를 하던 남자다. 아무런 말, 어떠한 이유도 설명하지 않는 ‘세스’, 알 수 없는 행동 속에 점점 더 공포로 질려가는 ‘홀리’ 하지만, 서서히 밝혀지는 충격적인 진실 속에 상황은 예상치 못한 방향으로 치닫기 시작하는데…",시체스 국제판타스틱 영화제(2016) : 오피셜 판타스틱-최우수각본상 - 제레미 슬레이터
아이 엠 낫 유어 니그로,,라울 펙,2018-02-08,,"나는 검둥이가 아니라 사람입니다.”미국의 가장 위대한 20세기 작가, 제임스 볼드윈은 미국흑인민권운동의 중심 인물 마틴 루서 킹, 맬컴 엑스, 메드가 에버스에 대한 이야기를 쓰기 시작한다. 결국 30페이지의 미완성 에세이로 남게 된 '리멤버 디스 하우스'는 사무엘 L. 잭슨의 목소리와 라울 펙 감독의 연출을 통해 생생하게 구현된다. 세 인물의 삶과 피살 사건, 그리고 백인 중심의 세상 속에서 왜곡되어 온 흑인의 이미지에 대한 제임스 볼드윈의 이야기는 흑인민권시대에 대한 훌륭한 기록이자 수십 년이 지난 지금 우리에게 던지는 현재진행형의 질문이다.",LA비평가협회상(2016) : 다큐멘터리상 - 라울 펙|베를린국제영화제(2017) : 파노라마 관객상 - 라울 펙|베를린국제영화제(2017) : 에큐메니칼 심사위원상:특별언급 - 라울 펙|토론토국제영화제(2016) : 다큐멘터리 관객상 - 라울 펙
투란도트,Turandot,스테파노 포다,2018-08-26,"왕자,공주,수수께끼,오페라",베이징의 냉혹한 공주 투란도트와 그녀의 사랑을 얻기 위해 세 가지 수수께끼에 도전하는 칼라프 왕자의 이야기를 다룬 푸치니 오페라 실황 영상,
아메리카파이: 19금 여배우들,,폴 사피아노,2013-02-28,"섹시,섹스,꿈꾸다,여자들",섹시한 여자들과 섹스를 꿈꾸는 남자들과 남자와의 섹스를 통해 자신들이 필요한 것을 얻는 여자들을 그린 이야기,
라 트라비아타,,메트오페라,2017-08-05,,베르디의 오페라 ‘라 트라비아타’ 공연 실황 영상,
일만명의 성자들,"10,000 Saints","샤리 스프링어 버먼,로버트 풀치니",2016-04-21,,"1987년대 뉴욕 이스트 빌리지… 그곳에서 우리는 진짜 가족을 만났다 자신과 관련된 우연한 사고로 하나뿐인 친구 ‘테디’를 잃은 소년 ‘주드’ 죄책감과 상실감에 방 안에 홀로 틀어박힌 그에게 잊고 지낸 아빠라는 존재가 불쑥 찾아온다. 어린 시절 헤어졌던 아빠 ‘레스’는 ‘주드’를 무작정 뉴욕으로 납치하고 결코 존경할 수 없는 복잡한 사생활을 가졌지만, 자신을 따뜻하게 감싸주는 ‘레스’의 모습에 ‘주드’는 조금씩 마음의 문을 열어간다. 뉴욕 이스트 빌리지에서 만난 운명적 음악과 첫사랑. 그리고, 처음으로 느껴본 ‘아빠’라는 존재. ‘주드’는 생애 처음 소중한 것을 지키기 위한 여행을 떠나게 되는데…",
징기스칸 : 제국의 건설,,"U. 샤그다슈렌,D. 줄바야",2013-02-08,"몽골,징기스칸,손녀,명의",징기스칸의 병을 치료하기 위해 명의를 데려오라는 임무를 맡은 몽골 전사들이 적들과 싸우는 우여곡절 끝에 명의의 손녀를 데려와 징기스칸의 병을 고치는 이야기,
레이징 피닉스2 : 여자옹박의 귀환,,페치타이 웡캄라오,2013-02-15,,,
라보엠,,로버트 돈헴,2014-12-20,"오페라원작,예술가,폐병,이웃집","파리의 라틴 지구 다락방에서 시인 로돌포와 그의 예술가 친구들은 가난하지만 즐겁게 살아간다. 그러던 어느 크리스마스 이브, 로돌포는 촛불을 빌리러 온 이웃집 미미와 우연히 만나 한눈에 사랑에 빠지고 마르첼로는 옛 연인이었던 무제타와 재회한다. 그러던 중 미미의 폐병 증상이 점점 악화되고 서로에게 해줄 수 있는 것이 없어 괴로워하던 미미와 로돌포는 결국 헤어지게 되는데…",
사랑의 묘약,,,2018-07-07,"오페라원작,아리아,약장수,시골청년,귀족영애",엉터리 약장사가 파는 사랑의 묘약으로 사랑을 얻고자 하는 남자의 희망을 그린 오페라 영상,
파리 오페라,The Paris Opera,장-스테파네 브론,2018-05-17,,,모스크바국제영화제(2017) : 베스트 다큐멘터리상 - 장-스테파네 브론
황제암살단,,빅터 부,2014-10-08,,가문을 몰살시킨 왕실에 대한 복수를 꿈꾸는 무사의 복수 여정을 그린 내용,
토스카,Tosca,,2018-05-05,"푸치니,오페라,공연실황,토스카",비극적 사랑을 그린 푸치니 오페라 ‘토스카’의 공연 실황 영상,
리브 어게인,One More Time,로버트 에드워즈,2018-04-26,,도시생활에 지친 쥬드는 아버지의 집으로 향한다. 한때 유행가를 불렀던 아버지는 늦바람이 불어 가수로서 재기를 노린다. 쥬드는 이제야 또 깨닫는다. 아버지와 있으면 인생이 얼마나 복잡해질 수 있는지.,
