MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
메카닉,2011-02-24,드라마/액션/스릴러,en,드라마/스릴러/액션,en
원피스필름골드,2016-12-08,애니메이션/어드벤처/판타지/액션,,애니메이션/액션/어드벤처/판타지,
송포유,2013-04-18,코미디/드라마,,드라마/코미디,
그린랜턴반지의선택,2011-06-16,SF/액션,en,SF/액션,en
루돌프와많이있어,2016-12-28,애니메이션,,애니메이션,
극장판요괴워치하늘을나는고래와더블세계다냥,2017-09-27,애니메이션,ja,애니메이션,ja
벽속에숨은마법시계,2018-10-31,판타지/공포(호러)/미스터리/SF/스릴러,,SF/공포(호러)/미스터리/스릴러/판타지,
허리케인하이스트,2018-03-14,액션/범죄,,범죄/액션,
독수리에디,2016-04-07,드라마,en/no/ cs/de,드라마, cs/de/en/no
한솔로스타워즈스토리,2018-05-24,액션/SF,en,SF/액션,en
덤보,2019-03-27,가족/판타지,en,가족/판타지,en
아이엠어히어로,2016-09-21,액션/공포(호러),ja,공포(호러)/액션,ja
극장판파워레인저다이노포스vs고버스터즈공룡대결전안녕영원한친구여,2014-10-02,액션/SF,,SF/액션,
연애의맛,2015-05-07,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
러블리본즈,2010-02-25,범죄/드라마/판타지,,드라마/범죄/판타지,
내니맥피2유모와마법소동,2010-08-11,가족/코미디/판타지,,가족/코미디/판타지,
자칼이온다,2012-11-15,코미디,ja/ko,코미디,ja/ko
한나,2011-04-14,액션/스릴러,,스릴러/액션,
덕수리5형제,2014-12-04,코미디/스릴러,ko,스릴러/코미디,ko
테드황금도시파이티티를찾아서,2012-09-20,애니메이션,,애니메이션,
코알라키드영웅의탄생,2012-01-12,애니메이션,ko/ en/pt,애니메이션, en/ko/pt
버드맨,2015-03-05,코미디/드라마,en,드라마/코미디,en
남과여,2016-02-25,멜로/로맨스,ko,로맨스/멜로,ko
비포미드나잇,2013-05-22,드라마,,드라마,
어쌔신더비기닝,2017-12-07,액션,tr/es/fa/pl/ar/en/it/pt,액션,ar/en/es/fa/it/pl/pt/tr
원데이,2012-12-13,드라마/멜로/로맨스,,드라마/로맨스/멜로,
짱구는못말려극장판나의이사이야기선인장대습격,2016-01-07,애니메이션,ja,애니메이션,ja
굿모닝에브리원,2011-03-17,드라마/코미디/멜로/로맨스,en/uk,드라마/로맨스/멜로/코미디,en/uk
발레리나,2017-02-09,애니메이션/어드벤처/가족/뮤지컬,,가족/뮤지컬/애니메이션/어드벤처,
페스티발,2010-11-18,코미디,ko,코미디,ko
언더월드4어웨이크닝,2012-02-22,액션/판타지/SF/공포(호러),en/ru,SF/공포(호러)/액션/판타지,en/ru
꼬마니콜라,2010-01-28,가족/코미디,,가족/코미디,
콜미바이유어네임,2018-03-22,드라마/멜로/로맨스,fr/en/it,드라마/로맨스/멜로,en/fr/it
코쿠리코언덕에서,2011-09-29,애니메이션/멜로/로맨스,ja,로맨스/멜로/애니메이션,ja
엣지오브다크니스,2010-06-02,범죄/드라마/미스터리/스릴러,,드라마/미스터리/범죄/스릴러,
스누피더피너츠무비,2015-12-24,애니메이션/어드벤처/코미디,en,애니메이션/어드벤처/코미디,en
언니,2019-01-01,액션,ko,액션,ko
그린호넷,2011-01-27,드라마,,드라마,
극장판포켓몬스터모두의이야기,2018-12-19,애니메이션,ja/it,애니메이션,it/ja
투혼,2011-10-06,드라마,ko,드라마,ko
무현두도시이야기,2016-10-26,다큐멘터리,ko,다큐멘터리,ko
언더독,2019-01-16,애니메이션,ko,애니메이션,ko
덤앤더머투,2014-11-27,코미디,en,코미디,en
디어존,2010-03-04,드라마/멜로/로맨스/전쟁,en,드라마/로맨스/멜로/전쟁,en
응징자,2013-10-30,액션/스릴러,ko,스릴러/액션,ko
나미야잡화점의기적,2018-02-28,판타지/드라마,ja,드라마/판타지,ja
쥴리의육지대모험,2011-09-08,애니메이션,,애니메이션,
보이후드,2014-10-23,드라마,es/en,드라마,en/es
컬러풀웨딩즈,2014-10-16,코미디,fr,코미디,fr
업그레이드,2018-09-06,액션,en,액션,en
50가지그림자심연,2017-02-09,드라마/멜로/로맨스,en,드라마/로맨스/멜로,en
글로리데이,2016-03-24,드라마,ko,드라마,ko
프리즈너스,2013-10-02,범죄/드라마/스릴러,en,드라마/범죄/스릴러,en
런닝맨풀룰루의역습,2018-12-05,애니메이션,ko,애니메이션,ko
기생수파트1,2015-02-26,스릴러/SF,ja,SF/스릴러,ja
팬,2015-10-08,판타지/어드벤처,en,어드벤처/판타지,en
해피피트2,2012-02-02,애니메이션/코미디/가족,en/pl,가족/애니메이션/코미디,en/pl
더셰프,2015-11-05,드라마,,드라마,
어린의뢰인,2019-05-22,드라마/가족,ko,가족/드라마,ko
우상,2019-03-20,스릴러,ko,스릴러,ko
마이리틀히어로,2013-01-09,드라마,ko,드라마,ko
극장판포켓몬스터dp디아루가vs펄기아vs다크라이,2018-06-06,애니메이션,en/ja,애니메이션,en/ja
명탐정코난탐정들의진혼가,2014-02-13,애니메이션,ja,애니메이션,ja
극장판도라에몽진구의보물섬,2018-08-15,애니메이션/SF/어드벤처,,SF/애니메이션/어드벤처,
바니버디,2011-07-20,애니메이션,,애니메이션,
유령작가,2010-06-02,미스터리/스릴러,,미스터리/스릴러,
백악관최후의날,2013-06-05,액션/스릴러,en/ko,스릴러/액션,en/ko
해양경찰마르코,2013-02-14,어드벤처/애니메이션,,애니메이션/어드벤처,
로마위드러브,2013-04-18,코미디,it/en,코미디,en/it
127시간,2011-02-17,드라마/스릴러,en,드라마/스릴러,en
레전드,2015-12-10,액션/범죄/드라마,en,드라마/범죄/액션,en
핵소고지,2017-02-22,드라마/전쟁,ja/en,드라마/전쟁,en/ja
아빠가여자를좋아해,2010-01-14,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
허트로커,2010-04-22,드라마/전쟁,en/ar/tr,드라마/전쟁,ar/en/tr
문라이트,2017-02-22,드라마,en,드라마,en
유전,2018-06-07,공포(호러),en,공포(호러),en
명탐정코난은빛날개의마술사,2013-01-24,애니메이션,ja,애니메이션,ja
더로드,2010-01-07,SF/드라마/스릴러,,SF/드라마/스릴러,
채비,2017-11-09,드라마,ko,드라마,ko
나는내일어제의너와만난다,2017-10-12,멜로/로맨스/판타지/SF,,SF/로맨스/멜로/판타지,
톱스타,2013-10-24,드라마,ko,드라마,ko
부활,2016-03-17,드라마,en,드라마,en
업사이드다운,2012-11-08,SF/판타지,,SF/판타지,
론서바이버,2014-04-02,액션/드라마/스릴러,en/ps,드라마/스릴러/액션,en/ps
어느가족,2018-07-26,드라마,ja,드라마,ja
발렌타인데이,2010-02-11,멜로/로맨스/코미디,,로맨스/멜로/코미디,
장난스런키스,2019-03-27,멜로/로맨스,zh,로맨스/멜로,zh
아빠를빌려드립니다,2014-11-20,코미디/가족/드라마,ko,가족/드라마/코미디,ko
자전차왕엄복동,2019-02-27,드라마,ko,드라마,ko
조이,2016-03-10,코미디/드라마,es/en,드라마/코미디,en/es
더프레데터,2018-09-12,SF/액션/스릴러,,SF/스릴러/액션,
예수는역사다,2017-07-13,드라마,,드라마,
19곰테드2,2015-06-25,코미디,en,코미디,en
그랑프리,2010-09-16,드라마,ko,드라마,ko
대배우,2016-03-30,코미디,ko,코미디,ko
매직브러시,2016-05-04,애니메이션,zh,애니메이션,zh
라스트베가스,2014-05-08,코미디,en,코미디,en
렛미인,2010-11-18,드라마/판타지/공포(호러)/미스터리,,공포(호러)/드라마/미스터리/판타지,
노리개,2013-04-18,드라마,ko,드라마,ko
나는아빠다,2011-04-14,액션/드라마,ko,드라마/액션,ko
비밀애,2010-03-25,멜로/로맨스,ko,로맨스/멜로,ko
극장판도라에몽진구의남극꽁꽁대모험,2017-08-10,애니메이션/SF/가족/어드벤처,,SF/가족/애니메이션/어드벤처,
극장판도라에몽진구의아프리카모험베코와5인의탐험대,2014-09-04,애니메이션/어드벤처,,애니메이션/어드벤처,
극장판도라에몽진구와기적의섬애니멀어드벤처,2012-07-25,애니메이션/어드벤처,,애니메이션/어드벤처,
스플라이스,2010-07-01,SF/공포(호러)/스릴러,,SF/공포(호러)/스릴러,
킬러엘리트,2011-09-22,스릴러/액션,,스릴러/액션,
김복남살인사건의전말,2010-09-02,스릴러/드라마,ko,드라마/스릴러,ko
세이프하우스,2012-02-29,액션/스릴러,,스릴러/액션,
무법자,2010-03-18,드라마/범죄/스릴러,ko,드라마/범죄/스릴러,ko
다크아워,2012-01-05,SF/액션,,SF/액션,
더페이버릿여왕의여자,2019-02-21,드라마,en,드라마,en
아메리칸울트라,2015-08-27,액션/코미디,en,액션/코미디,en
트랜스포터리퓰드,2015-10-15,액션/범죄/스릴러,en,범죄/스릴러/액션,en
빅,2016-07-27,애니메이션/어드벤처/코미디/가족,,가족/애니메이션/어드벤처/코미디,
더큐어,2017-02-15,미스터리/스릴러,en/de,미스터리/스릴러,de/en
더자이언트,2013-02-21,애니메이션,th,애니메이션,th
회복,2010-01-14,다큐멘터리,ko,다큐멘터리,ko
극장판요괴워치섀도사이드도깨비왕의부활,2018-09-20,애니메이션,,애니메이션,
어브덕션,2011-09-29,액션/드라마/미스터리,,드라마/미스터리/액션,
써커펀치,2011-04-07,액션,en/de,액션,de/en
빨간모자의진실2,2011-07-13,애니메이션,en,애니메이션,en
아메리칸허슬,2014-02-20,범죄/드라마,en,드라마/범죄,en
아토믹블론드,2017-08-30,액션,sv/en/de/ru,액션,de/en/ru/sv
레고닌자고무비,2017-09-28,애니메이션/액션/코미디/어드벤처/가족,,가족/애니메이션/액션/어드벤처/코미디,
최강전사미니특공대새로운악당의습격,2015-02-05,애니메이션,ko,애니메이션,ko
크레이지리치아시안,2018-10-25,멜로/로맨스/코미디,cn/zh/en,로맨스/멜로/코미디,cn/en/zh
킥애스영웅의탄생,2010-04-22,액션/어드벤처/코미디,en,액션/어드벤처/코미디,en
폴리스스토리2014,2014-01-29,액션/범죄/드라마/스릴러,zh/cn,드라마/범죄/스릴러/액션,cn/zh
더레이븐,2012-07-05,스릴러/미스터리,,미스터리/스릴러,
시카리오암살자의도시,2015-12-03,범죄/미스터리/스릴러,es/en,미스터리/범죄/스릴러,en/es
익스펜더블3,2014-08-20,액션/어드벤처/스릴러,en,스릴러/액션/어드벤처,en
아메리칸셰프,2015-01-07,코미디,es/en,코미디,en/es
히든카드,2013-09-26,범죄/스릴러,,범죄/스릴러,
달빛궁궐,2016-09-07,애니메이션/판타지/어드벤처,ko,애니메이션/어드벤처/판타지,ko
짱구는못말려극장판정면승부로봇아빠의역습,2015-04-23,애니메이션/코미디/어드벤처,ja,애니메이션/어드벤처/코미디,ja
다운사이징,2018-01-11,드라마/코미디,no/ en/es/vi/is,드라마/코미디, en/es/is/no/vi
비정규직특수요원,2017-03-16,코미디/액션,ko,액션/코미디,ko
워킹걸,2015-01-07,코미디/멜로/로맨스,ko,로맨스/멜로/코미디,ko
레고배트맨무비,2017-02-09,애니메이션/액션/코미디,,애니메이션/액션/코미디,
미스컨덕트,2016-03-30,범죄/스릴러,en/it,범죄/스릴러,en/it
서울역,2016-08-17,애니메이션,ko,애니메이션,ko
크레이지,2010-04-08,공포(호러)/SF/스릴러,,SF/공포(호러)/스릴러,
웨딩드레스,2010-01-14,드라마,ko,드라마,ko
원피스극장판스트롱월드,2010-02-11,애니메이션/판타지,,애니메이션/판타지,
13시간,2016-03-03,액션/드라마/스릴러,ar/en,드라마/스릴러/액션,ar/en
철의여인,2012-02-23,드라마,,드라마,
안나카레니나,2013-03-21,드라마,,드라마,
헬프,2011-11-03,드라마,,드라마,
지슬끝나지않은세월2,2013-03-21,드라마,ko,드라마,ko
장난감이살아있다,2016-09-07,애니메이션/어드벤처/가족,es/en,가족/애니메이션/어드벤처,en/es
우먼인골드,2015-07-09,드라마,,드라마,
은밀한유혹,2015-06-04,멜로/로맨스/범죄,ko,로맨스/멜로/범죄,ko
가시,2014-04-10,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
극장판또봇로봇군단의습격,2017-04-27,애니메이션,es,애니메이션,es
마담프루스트의비밀정원,2014-07-24,드라마,,드라마,
극장판아이엠스타꿈의오디션,2016-02-11,애니메이션,,애니메이션,
나를기억해,2018-04-19,미스터리/범죄/스릴러,ko,미스터리/범죄/스릴러,ko
화장,2015-04-09,드라마,ko,드라마,ko
아르고,2012-10-31,스릴러,,스릴러,
500일의썸머,2010-01-21,드라마/멜로/로맨스,,드라마/로맨스/멜로,
블루재스민,2013-09-25,드라마,en,드라마,en
가버나움,2019-01-24,드라마,ar,드라마,ar
플로렌스,2016-08-24,드라마,en,드라마,en
액트오브밸러최정예특수부대,2012-02-29,액션/어드벤처/스릴러,,스릴러/액션/어드벤처,
나이트메어,2010-05-20,공포(호러)/스릴러,,공포(호러)/스릴러,
빅샤크매직체인지,2018-06-27,애니메이션,zh,애니메이션,zh
극장판도라에몽진구와철인군단날아라천사들,2011-07-28,애니메이션/가족,,가족/애니메이션,
데이브레이커스,2010-03-18,드라마/스릴러/액션,,드라마/스릴러/액션,
더포스트,2018-02-28,드라마/스릴러,en,드라마/스릴러,en
독전익스텐디드컷,2018-07-18,범죄/액션,,범죄/액션,
극장판파워레인저엔진포스vs와일드스피릿,2010-01-07,SF/액션,,SF/액션,
5050,2011-11-24,코미디/드라마,,드라마/코미디,
더퍼지,2013-11-06,스릴러/SF,,SF/스릴러,
극장판에그엔젤코코밍푸르밍과두근두근코코밍세계,2017-09-07,애니메이션,ko,애니메이션,ko
파이터,2011-03-10,드라마,en,드라마,en
워터디바이너,2015-01-28,드라마/전쟁,ru/tr/el/en,드라마/전쟁,el/en/ru/tr
링컨,2013-03-14,드라마/전쟁,,드라마/전쟁,
제5침공,2016-02-25,액션/어드벤처/SF,en,SF/액션/어드벤처,en
제인에어,2011-04-20,드라마/멜로/로맨스,,드라마/로맨스/멜로,
극장판꼬마버스타요의에이스구출작전,2016-01-21,애니메이션,,애니메이션,
로빈슨크루소,2016-09-07,애니메이션/어드벤처/코미디,,애니메이션/어드벤처/코미디,
로마의휴일,2017-08-30,코미디/드라마,ko,드라마/코미디,ko
대니쉬걸,2016-02-17,드라마,fr/en/de,드라마,de/en/fr
비스틀리,2011-03-17,드라마/판타지/멜로/로맨스,,드라마/로맨스/멜로/판타지,
나의절친악당들,2015-06-25,범죄/액션/드라마,ko,드라마/범죄/액션,ko
카운슬러,2013-11-14,범죄/드라마/스릴러,en,드라마/범죄/스릴러,en
죽이고싶은,2010-08-26,스릴러,ko,스릴러,ko
오션월드3d,2010-08-11,다큐멘터리/어드벤처,,다큐멘터리/어드벤처,
리딕,2013-11-28,SF/액션,en,SF/액션,en
오늘,2011-10-27,드라마,ko,드라마,ko
심야식당,2015-06-18,드라마,ja,드라마,ja
파라노말액티비티3,2011-10-20,공포(호러),,공포(호러),
22블렛,2010-10-14,액션/범죄,,범죄/액션,
두여자,2010-11-18,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
스트리트댄스,2010-06-16,드라마/멜로/로맨스,,드라마/로맨스/멜로,
자백,2016-10-13,다큐멘터리,ko,다큐멘터리,ko
맨홀,2014-10-08,공포(호러)/스릴러,ko,공포(호러)/스릴러,ko
클로이,2010-02-25,드라마/스릴러,,드라마/스릴러,
명탐정코난에피소드원작아진명탐정,2017-02-08,애니메이션,ja,애니메이션,ja
뮬란전사의귀환,2010-09-02,액션/드라마,,드라마/액션,
버틀러대통령의집사,2013-11-28,드라마/기타,en,기타/드라마,en
솔로몬케인,2010-03-25,액션/어드벤처/판타지,ar/en,액션/어드벤처/판타지,ar/en
눈길,2017-03-01,드라마,ko,드라마,ko
카페소사이어티,2016-09-14,멜로/로맨스/드라마,en,드라마/로맨스/멜로,en
마이리틀자이언트,2016-08-10,어드벤처/가족/판타지,en,가족/어드벤처/판타지,en
저수지게임,2017-09-07,다큐멘터리,ko,다큐멘터리,ko
꾸뻬씨의행복여행,2014-11-27,어드벤처/드라마,de/en/fr,드라마/어드벤처,de/en/fr
삼국지명장관우,2011-05-19,전쟁/액션/드라마,,드라마/액션/전쟁,
시간위의집,2017-04-05,미스터리/스릴러,ko,미스터리/스릴러,ko
마이펫오지,2017-02-16,애니메이션/어드벤처,pl/es,애니메이션/어드벤처,es/pl
러시더라이벌,2013-10-09,액션/드라마,en/de/it/fr,드라마/액션,de/en/fr/it
마법천자문대마왕의부활을막아라,2010-08-19,애니메이션,,애니메이션,
썬더일레븐극장판최강군단오우거의습격,2011-05-05,애니메이션/어드벤처/액션,,애니메이션/액션/어드벤처,
서서평천천히평온하게,2017-04-26,다큐멘터리,ko,다큐멘터리,ko
애프터라이프,2010-09-02,드라마/미스터리/스릴러,,드라마/미스터리/스릴러,
그렇게아버지가된다,2013-12-19,드라마/가족,ja,가족/드라마,ja
실버라이닝플레이북,2013-02-14,멜로/로맨스/코미디/드라마,en,드라마/로맨스/멜로/코미디,en
러브라이브더스쿨아이돌무비,2015-09-03,애니메이션,,애니메이션,
사다코3d죽음의동영상,2012-06-14,공포(호러),,공포(호러),
극장판도라에몽진구의비밀도구박물관,2013-07-25,애니메이션/어드벤처,,애니메이션/어드벤처,
라스트위치헌터,2015-12-30,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
리미트리스,2012-07-12,미스터리/스릴러/액션,en/it/ru/zh/fr,미스터리/스릴러/액션,en/fr/it/ru/zh
퇴마무녀굴,2015-08-20,공포(호러)/스릴러,ko,공포(호러)/스릴러,ko
헤이트풀8,2016-01-07,액션/스릴러/서부극(웨스턴),es/en,서부극(웨스턴)/스릴러/액션,en/es
죽여주는여자,2016-10-06,드라마,ko,드라마,ko
라스트나잇,2011-04-07,멜로/로맨스,,로맨스/멜로,
킹오브프리즘프라이드더히어로,2017-06-10,애니메이션,,애니메이션,
짱구는못말려극장판폭풍수면꿈꾸는세계대돌격,2017-01-25,애니메이션,ja,애니메이션,ja
파리로가는길,2017-08-03,드라마/멜로/로맨스,fr/en,드라마/로맨스/멜로,en/fr
아티스트,2012-02-16,멜로/로맨스/코미디/드라마,xx,드라마/로맨스/멜로/코미디,xx
얼리맨,2018-05-03,애니메이션,,애니메이션,
부탁하나만들어줘,2018-12-12,스릴러/미스터리,en,미스터리/스릴러,en
데블,2010-11-04,공포(호러),,공포(호러),
감바의대모험,2016-11-10,애니메이션/어드벤처,,애니메이션/어드벤처,
극장판소드아트온라인오디널스케일,2017-02-23,애니메이션/SF/액션,,SF/애니메이션/액션,
고스트라이더복수의화신,2012-02-16,액션/판타지/스릴러,en,스릴러/액션/판타지,en
우먼인블랙,2012-02-16,드라마/공포(호러)/스릴러,,공포(호러)/드라마/스릴러,
정무문100대1의전설,2011-06-22,액션,,액션,
케로로더무비5기적의사차원섬,2010-04-29,애니메이션/어드벤처/가족,,가족/애니메이션/어드벤처,
여교사,2017-01-04,드라마,ko,드라마,ko
8인최후의결사단,2010-01-21,액션/사극,,사극/액션,
존윅,2015-01-21,액션/스릴러,hu/en/ru,스릴러/액션,en/hu/ru
명탐정코난전율의악보,2019-02-14,애니메이션/미스터리,ja,미스터리/애니메이션,ja
쏘우3d,2010-11-18,공포(호러),,공포(호러),
최강전사미니특공대영웅의탄생,2016-02-04,애니메이션,ko,애니메이션,ko
들어는봤니모건부부,2010-01-28,코미디/멜로/로맨스,,로맨스/멜로/코미디,
로맨틱크라운,2011-08-17,멜로/로맨스/코미디,,로맨스/멜로/코미디,
터키,2014-07-31,애니메이션/코미디,en,애니메이션/코미디,en
극장판도라에몽진구의우주영웅기스페이스히어로즈,2015-09-17,애니메이션/SF/어드벤처,,SF/애니메이션/어드벤처,
미라클벨리에,2015-08-27,드라마,es/fr,드라마,es/fr
다이노소어어드벤처백악기공룡대백과,2016-05-04,다큐멘터리,en/ko,다큐멘터리,en/ko
배우는배우다,2013-10-24,드라마,ko,드라마,ko
안녕나의소녀,2018-05-16,멜로/로맨스,zh,로맨스/멜로,zh
셀프리스,2015-09-10,SF/액션/스릴러,en,SF/스릴러/액션,en
스틸앨리스,2015-04-29,드라마,en,드라마,en
직쏘,2017-11-02,공포(호러)/스릴러/범죄,,공포(호러)/범죄/스릴러,
러브앤프렌즈,2011-06-16,드라마,en,드라마,en
극장판파워레인저캡틴포스vs미라클포스199히어로대결전,2012-12-13,애니메이션,,애니메이션,
캣츠앤독스2,2010-09-16,가족/코미디/액션,,가족/액션/코미디,
당갈,2018-04-25,액션/드라마,,드라마/액션,
프로포즈데이,2010-04-08,멜로/로맨스/코미디,,로맨스/멜로/코미디,
더콘서트,2010-11-25,드라마/코미디,,드라마/코미디,
피터와드래곤,2016-09-28,어드벤처/가족/판타지,en,가족/어드벤처/판타지,en
히트,2011-10-13,드라마/액션/코미디,,드라마/액션/코미디,
베이블레이드버스트갓갓발키리의탄생,2017-06-01,애니메이션,,애니메이션,
할로윈,2018-10-31,공포(호러),en,공포(호러),en
맨프롬uncle,2015-10-28,액션/어드벤처/코미디,it/en/ru/de,액션/어드벤처/코미디,de/en/it/ru
레드스패로,2018-02-28,스릴러,,스릴러,
마지막4중주,2013-07-25,드라마,,드라마,
더기버기억전달자,2014-08-20,SF/드라마/판타지,en,SF/드라마/판타지,en
더건맨,2015-04-16,액션/스릴러,,스릴러/액션,
제로다크서티,2013-03-07,전쟁/액션/스릴러,en/ar,스릴러/액션/전쟁,ar/en
도희야,2014-05-22,드라마,ko,드라마,ko
우리가꿈꾸는기적인빅터스,2010-03-04,드라마,,드라마,
프리덤,2015-11-19,드라마/가족,en,가족/드라마,en
웨이백,2011-03-17,드라마,,드라마,
아마존의눈물,2010-03-25,다큐멘터리,ko,다큐멘터리,ko
더시그널,2014-07-09,SF/액션/스릴러,en,SF/스릴러/액션,en
공주와개구리,2010-01-21,애니메이션/멜로/로맨스,,로맨스/멜로/애니메이션,
바람이분다,2013-09-05,애니메이션/드라마,fr/de/it/ja,드라마/애니메이션,de/fr/it/ja
니드포스피드,2014-04-16,액션/범죄/드라마/스릴러,en,드라마/범죄/스릴러/액션,en
미래의미라이,2019-01-16,애니메이션,ja,애니메이션,ja
라스트엑소시즘,2010-12-01,공포(호러)/스릴러,,공포(호러)/스릴러,
5백만불의사나이,2012-07-19,코미디,ko,코미디,ko
인사이드르윈,2014-01-29,드라마,en,드라마,en
킹오브프리즘,2016-08-11,애니메이션/드라마/판타지,,드라마/애니메이션/판타지,
꿈은이루어진다,2010-05-27,코미디/드라마,ko,드라마/코미디,ko
베리굿걸,2014-09-25,멜로/로맨스/드라마,,드라마/로맨스/멜로,
다이버전트시리즈얼리전트,2016-05-12,액션/어드벤처/SF,,SF/액션/어드벤처,
더테이블,2017-08-24,드라마/멜로/로맨스,ko,드라마/로맨스/멜로,ko
워호스,2012-02-09,전쟁/드라마,en,드라마/전쟁,en
루시드드림,2017-02-22,SF/스릴러,ko,SF/스릴러,ko
박스트롤,2014-11-06,애니메이션/가족/어드벤처/코미디,en,가족/애니메이션/어드벤처/코미디,en
일대종사,2013-08-22,액션/드라마,,드라마/액션,
ripd알아이피디,2013-08-22,액션/코미디/범죄,,범죄/액션/코미디,
게이트,2018-02-28,범죄/코미디,ko,범죄/코미디,ko
돌연변이,2015-10-22,드라마/코미디,ko,드라마/코미디,ko
바닷마을다이어리,2015-12-17,드라마,ja,드라마,ja
극장판파워레인저트레인포스vs다이노포스themovie,2015-11-26,액션/SF,,SF/액션,
딥워터호라이즌,2017-01-25,액션/드라마,,드라마/액션,
미니특공대x,2018-03-22,애니메이션,ko,애니메이션,ko
크게될놈,2019-04-18,드라마,ko,드라마,ko
라스트미션,2019-03-14,드라마,en/es,드라마,en/es
타운,2011-01-27,드라마/범죄/스릴러,en,드라마/범죄/스릴러,en
라이언,2017-02-01,드라마,,드라마,
로덴시아마법왕국의전설,2013-10-02,애니메이션/어드벤처,,애니메이션/어드벤처,
빌리와용감한녀석들3,2015-04-30,애니메이션/어드벤처,,애니메이션/어드벤처,
대병소장,2010-03-11,액션/코미디,,액션/코미디,
김광석,2017-08-30,다큐멘터리,ko,다큐멘터리,ko
맥베스,2015-12-03,드라마,en,드라마,en
이웃집에신이산다,2015-12-24,코미디,fr,코미디,fr
여중생a,2018-06-20,드라마,ko,드라마,ko
레이디버드,2018-04-04,코미디/드라마,en,드라마/코미디,en
콜드체이싱,2019-02-20,액션,en,액션,en
인류멸망보고서,2012-04-11,SF,ko,SF,ko
쓰리빌보드,2018-03-15,코미디/범죄/드라마,en,드라마/범죄/코미디,en
다크타워희망의탑,2017-08-23,액션/어드벤처/판타지,en,액션/어드벤처/판타지,en
슈퍼빼꼼스파이대작전,2017-05-03,애니메이션/코미디,ko,애니메이션/코미디,ko
하치이야기,2010-02-18,드라마/가족,,가족/드라마,
나탈리,2010-10-28,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
바스티유데이,2016-10-13,액션,,액션,
577프로젝트,2012-08-30,코미디/드라마,ko,드라마/코미디,ko
기생령,2011-08-05,공포(호러),ko,공포(호러),ko
걷기왕,2016-10-20,드라마,ko,드라마,ko
무서운이야기3화성에서온소녀,2016-06-01,공포(호러),ko,공포(호러),ko
일사각오,2016-03-17,드라마,ko,드라마,ko
사일런스,2017-02-28,드라마,ja/en,드라마,en/ja
초한지천하대전,2012-01-11,액션,,액션,
인비저블게스트,2017-09-21,범죄/미스터리/스릴러,es,미스터리/범죄/스릴러,es
나다니엘블레이크,2016-12-08,드라마,en,드라마,en
나의산티아고,2016-07-14,코미디,,코미디,
마야2,2018-02-01,애니메이션,,애니메이션,
커다랗고커다랗고커다란배,2018-05-03,애니메이션,,애니메이션,
베일리어게인,2018-11-22,어드벤처/드라마/코미디,en/de,드라마/어드벤처/코미디,de/en
프리스트,2011-06-09,액션,,액션,
원피스극장판z,2013-03-21,애니메이션,,애니메이션,
태풍이지나가고,2016-07-27,드라마,ja,드라마,ja
루이스,2018-09-20,애니메이션,,애니메이션,
본투비블루,2016-06-09,드라마,en,드라마,en
7번째아들,2015-02-11,어드벤처/가족/판타지,en,가족/어드벤처/판타지,en
샤크나이트3d,2011-09-15,스릴러/공포(호러),,공포(호러)/스릴러,
철가방우수,2012-11-22,드라마,,드라마,
크리미널,2016-06-22,액션/범죄,en,범죄/액션,en
구스베이비,2019-01-16,애니메이션/어드벤처/코미디,,애니메이션/어드벤처/코미디,
포커스,2015-02-26,코미디/범죄/멜로/로맨스,en,로맨스/멜로/범죄/코미디,en
마마,2013-01-23,공포(호러)/스릴러,,공포(호러)/스릴러,
타워하이스트,2011-11-17,액션/코미디/범죄,,범죄/액션/코미디,
노게임노라이프제로,2017-10-19,애니메이션,,애니메이션,
써니감독판,2011-07-28,드라마/코미디,,드라마/코미디,
완벽한파트너,2011-11-17,코미디,ko,코미디,ko
더매직리틀톰과도둑공주,2015-09-24,애니메이션/판타지/뮤지컬,,뮤지컬/애니메이션/판타지,
슈퍼미니,2014-04-10,애니메이션/액션/어드벤처,,애니메이션/액션/어드벤처,
오베라는남자,2016-05-25,드라마,,드라마,
페이스블라인드,2012-06-21,범죄/미스터리/스릴러,,미스터리/범죄/스릴러,
더콜,2013-06-20,스릴러,,스릴러,
콜드라잇오브데이,2012-05-17,액션/스릴러,,스릴러/액션,
살인자,2014-01-15,스릴러,ko,스릴러,ko
레고무비2,2019-02-06,애니메이션/액션/어드벤처,en,애니메이션/액션/어드벤처,en
그대이름은장미,2019-01-16,코미디,ko,코미디,ko
락오브에이지,2012-08-02,뮤지컬/드라마,,드라마/뮤지컬,
몬스터콜,2017-09-14,판타지/드라마,,드라마/판타지,
사우스포,2015-12-03,드라마/액션,en,드라마/액션,en
갤로우즈,2015-09-03,공포(호러),,공포(호러),
팅커테일러솔저스파이,2012-02-09,스릴러,,스릴러,
